pOTU,Phylodist,Niche0ver,CladeID
pOTU004_pOTU049,44,0.484132457,NN
pOTU004_pOTU054,42,0.028277356,NN
pOTU004_pOTU036,48,0.060478816,NN
pOTU004_pOTU022,46,0.295536506,NN
pOTU004_pOTU005,44,0.701646694,NN
pOTU004_pOTU003,44,0.264736572,NN
pOTU004_pOTU002,42,0.270789652,NN
pOTU004_pOTU043,46,0.434318404,NN
pOTU004_pOTU046,52,0.707178084,NN
pOTU004_pOTU045,46,0.643411877,NN
pOTU004_pOTU048,42,0.539704459,NN
pOTU004_pOTU041,52,0.707165366,NN
pOTU004_pOTU044,46,0.538629685,NN
pOTU004_pOTU042,52,0.640409712,NN
pOTU004_pOTU039,46,0.413598587,NN
pOTU004_pOTU032,42,0.638254355,NN
pOTU004_pOTU038,52,0.795645728,NN
pOTU004_pOTU034,46,0.702511763,NN
pOTU004_pOTU035,46,0.38767767,NN
pOTU004_pOTU033,46,0.678768472,NN
pOTU004_pOTU029,42,0.562912564,NN
pOTU004_pOTU025,46,0.738576477,NN
pOTU004_pOTU023,42,0.653048219,NN
pOTU004_pOTU026,46,0.621635757,NN
pOTU004_pOTU028,42,0.27497715,NN
pOTU004_pOTU027,52,0.731250137,NN
pOTU004_pOTU019,44,0.6022843,NN
pOTU004_pOTU021,48,0.63215701,NN
pOTU004_pOTU018,42,0.204073649,NN
pOTU004_pOTU024,46,0.743463459,NN
pOTU004_pOTU016,42,0.56397587,NN
pOTU004_pOTU020,42,0.079293917,NN
pOTU004_pOTU017,42,0.610058743,NN
pOTU004_pOTU008,42,0.657283927,NN
pOTU004_pOTU011,42,0.705616754,NN
pOTU004_pOTU010,42,0.31184922,NN
pOTU004_pOTU051,42,0.00023013,NN
pOTU004_pOTU052,44,0.000163518,NN
pOTU004_pOTU030,48,0.052717092,NN
pOTU004_pOTU037,48,0.003958418,NN
pOTU004_pOTU040,50,0.005619956,NN
pOTU004_pOTU031,48,0.007430634,NN
pOTU004_pOTU015,48,0.004843558,NN
pOTU004_pOTU014,46,0.00989744,NN
pOTU004_pOTU012,48,0.006725659,NN
pOTU004_pOTU013,46,0.005710704,NN
pOTU004_pOTU006,46,0.000846127,NN
pOTU004_pOTU009,44,0.058184167,NN
pOTU004_pOTU007,42,0.020497252,NN
pOTU004_pOTU001,48,0.022607159,NN
pOTU003_pOTU047,44,0.46895826,NN
pOTU003_pOTU059,44,0.131072516,NN
pOTU003_pOTU054,44,0.035099554,NN
pOTU003_pOTU036,48,0.272021994,NN
pOTU003_pOTU022,46,0.549316694,NN
pOTU003_pOTU004,44,0.264736572,NN
pOTU003_pOTU002,44,0.503542514,NN
pOTU003_pOTU043,46,0.32156328,NN
pOTU003_pOTU046,52,0.288627857,NN
pOTU003_pOTU045,46,0.226709063,NN
pOTU003_pOTU048,44,0.159839769,NN
pOTU003_pOTU041,52,0.280687318,NN
pOTU003_pOTU044,46,0.243511254,NN
pOTU003_pOTU042,52,0.216140005,NN
pOTU003_pOTU039,46,0.205814694,NN
pOTU003_pOTU032,44,0.294856043,NN
pOTU003_pOTU038,52,0.291574636,NN
pOTU003_pOTU034,46,0.320457793,NN
pOTU003_pOTU035,46,0.201804048,NN
pOTU003_pOTU033,46,0.301325992,NN
pOTU003_pOTU029,44,0.259212546,NN
pOTU003_pOTU025,46,0.301912118,NN
pOTU003_pOTU023,44,0.239582119,NN
pOTU003_pOTU026,46,0.358632022,NN
pOTU003_pOTU028,44,0.277180883,NN
pOTU003_pOTU027,52,0.261643881,NN
pOTU003_pOTU021,48,0.254775975,NN
pOTU003_pOTU018,44,0.218546258,NN
pOTU003_pOTU024,46,0.242604088,NN
pOTU003_pOTU016,44,0.22585171,NN
pOTU003_pOTU020,44,0.089069279,NN
pOTU003_pOTU017,44,0.247908015,NN
pOTU003_pOTU008,44,0.264604481,NN
